Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
123,Jusuf Nurkić,C,29,PHO,74,74,27.4,4.2,8.4,0.508,0.3,1.2,0.247,3.9,7.1,0.552,0.526,2.2,3.5,0.637,3,8.1,11.1,3.9,1,1,2.3,3.4,11
124,Herbert Jones,SF,25,NOP,73,73,30.4,3.8,7.6,0.502,1.5,3.5,0.416,2.4,4.1,0.575,0.598,1.8,2.1,0.87,1,2.5,3.5,2.6,1.4,0.8,1.2,2.9,11
125,Bruce Brown,SG-PG,27,TOT,65,44,28.1,4.2,8.8,0.473,0.8,2.5,0.317,3.4,6.3,0.534,0.518,1.8,2.1,0.827,0.8,3.5,4.3,2.9,0.9,0.3,1.3,2.2,10.9
126,Moritz Wagner,C,26,ORL,78,1,17.7,4.1,6.9,0.594,0.5,1.5,0.325,3.6,5.4,0.666,0.628,2.1,2.6,0.812,1.5,2.9,4.4,1.2,0.5,0.3,1.2,2,10.8
127,Santi Aldama,PF,23,MEM,61,35,26.5,4,9.3,0.435,1.7,5,0.349,2.3,4.3,0.534,0.528,0.9,1.4,0.621,1.2,4.6,5.8,2.3,0.7,0.9,1.1,1.5,10.7
128,Spencer Dinwiddie,PG,30,TOT,74,52,28.6,3.4,8.6,0.392,1.7,4.9,0.337,1.7,3.6,0.467,0.489,2.2,2.8,0.8,0.4,2.3,2.7,4.8,0.7,0.3,1.2,1.8,10.6
129,Jaden McDaniels,SF,23,MIN,70,69,29.3,4.3,8.8,0.49,1.2,3.5,0.332,3.1,5.2,0.597,0.557,0.8,1.1,0.727,0.8,2.4,3.2,1.4,0.9,0.6,1.2,3.1,10.6
130,Alec Burks,SG,32,TOT,65,1,18.5,3.2,8.7,0.37,1.9,5,0.375,1.3,3.6,0.363,0.479,2.2,2.5,0.867,0.4,1.9,2.3,1.3,0.4,0.2,0.7,1.2,10.5
131,Simone Fontecchio,SF,28,TOT,66,43,24.9,3.8,8.3,0.46,2,5.1,0.401,1.8,3.2,0.551,0.582,0.8,1,0.818,1,2.8,3.7,1.5,0.7,0.3,1,1.7,10.5
132,Grant Williams,PF,25,TOT,76,43,28,3.6,8,0.456,1.7,4.4,0.375,2,3.5,0.558,0.56,1.4,1.8,0.757,1.1,3.1,4.2,2.3,0.6,0.5,1.4,3,10.3
133,Obi Toppin,PF,25,IND,80,28,21.3,4.1,7.1,0.577,1.3,3.1,0.409,2.8,4,0.708,0.666,0.9,1.2,0.76,1,2.9,4,1.5,0.6,0.5,0.8,1.8,10.3
134,Reggie Jackson,PG,33,DEN,80,23,22.2,4,9.2,0.434,1.3,3.5,0.362,2.8,5.8,0.476,0.501,1,1.2,0.8,0.4,1.5,1.9,3.8,0.5,0.2,1.3,1.8,10.2
135,Kevin Huerter,SG,25,SAC,64,59,24.4,3.9,8.8,0.443,1.9,5.3,0.361,2,3.4,0.571,0.553,0.6,0.7,0.766,0.6,2.9,3.5,2.6,0.7,0.4,0.8,2.1,10.2
136,Caleb Martin,SF,28,MIA,62,21,27.5,3.8,8.8,0.432,1.3,3.6,0.35,2.5,5.2,0.489,0.504,1.2,1.6,0.778,1.1,3.2,4.4,2.2,0.7,0.5,1.2,2,10.1
137,T.J. McConnell,PG,31,IND,69,4,18.2,4.6,8.2,0.555,0.2,0.6,0.385,4.3,7.7,0.567,0.568,0.7,0.9,0.79,0.5,2.2,2.7,5.4,1,0.1,1.6,1.1,10.1
138,Kentavious Caldwell-Pope,SG,30,DEN,74,74,31.7,3.6,7.8,0.457,1.7,4.1,0.407,1.9,3.7,0.513,0.564,1.4,1.5,0.902,0.4,2,2.4,2.4,1.3,0.6,1,2,10.1
139,Alex Caruso,SG,29,CHI,69,55,28.5,3.6,7.6,0.465,1.9,4.7,0.406,1.6,2.9,0.559,0.59,1,1.3,0.761,0.9,2.9,3.8,3.3,1.6,1,1.4,2.6,10
140,Tre Jones,PG,24,SAS,75,46,27.7,3.9,7.7,0.506,0.8,2.4,0.339,3.1,5.3,0.584,0.56,1.3,1.5,0.87,0.8,2.9,3.7,6.2,1,0.1,1.5,1.2,9.9
141,Jalen Smith,C,23,IND,59,14,17.1,3.8,6.5,0.587,1,2.4,0.414,2.8,4.1,0.687,0.663,1.2,1.8,0.692,1.8,3.7,5.5,1,0.3,0.6,0.7,2,9.8
142,Kelly Olynyk,C,32,TOT,76,25,22.5,3.5,6.3,0.557,0.8,2,0.388,2.8,4.3,0.635,0.619,1.9,2.3,0.831,1.4,3.8,5.2,4.5,1,0.4,1.9,2.9,9.8
143,Nick Richards,C,26,CHO,67,51,26.3,3.9,5.6,0.691,0,0,0,3.9,5.6,0.693,0.691,2,2.7,0.737,2.6,5.5,8,0.8,0.4,1.1,1.1,2.6,9.7
144,Isaac Okoro,SF,23,CLE,67,41,27.4,3.4,7,0.489,1.2,3.1,0.386,2.2,3.9,0.573,0.576,1.3,2,0.667,1,2,3,1.9,0.8,0.5,0.8,2.1,9.4
145,Georges Niang,PF,30,CLE,80,10,22.3,3.4,7.7,0.449,1.8,4.8,0.373,1.7,2.9,0.573,0.564,0.6,0.8,0.85,0.3,3.1,3.4,1.2,0.4,0.2,0.9,2.4,9.3
146,Brandin Podziemski,SG,20,GSW,71,28,26.6,3.7,8.1,0.454,1.2,3.2,0.388,2.5,4.9,0.497,0.53,0.7,1.1,0.628,1.6,4.1,5.7,3.7,0.8,0.2,1.2,1.7,9.3
147,Malaki Branham,PG,20,SAS,75,29,21.3,3.6,8.4,0.432,1.2,3.6,0.347,2.4,4.8,0.494,0.506,0.7,0.8,0.873,0.4,1.6,2,2.1,0.4,0.1,1.2,1.3,9.2
148,Andrew Nembhard,PG,24,IND,66,45,24.8,3.8,7.7,0.497,0.9,2.5,0.358,2.9,5.2,0.564,0.555,0.6,0.8,0.788,0.5,1.5,2.1,4.1,0.9,0.1,1.5,2.1,9.2
149,Josh Hart,SF,28,NYK,78,39,33.3,3.5,8.3,0.428,1,3.2,0.309,2.6,5.1,0.503,0.488,1.1,1.4,0.786,1.6,6.7,8.2,4.1,0.9,0.3,1.4,2.1,9.2
150,Amen Thompson,SF,21,HOU,59,20,21.7,3.7,7,0.53,0.1,0.9,0.143,3.6,6.1,0.591,0.54,1.6,2.4,0.676,2.2,4.1,6.3,2.4,1.2,0.6,1.4,2.3,9.2
151,Duop Reath,C,27,POR,65,20,17.8,3.4,7.2,0.468,1.3,3.6,0.359,2.1,3.6,0.576,0.557,0.9,1.3,0.726,1.4,2.3,3.6,1,0.5,0.5,0.8,2.4,9
152,Payton Pritchard,PG,26,BOS,79,3,21.9,3.3,7.3,0.451,1.7,4.6,0.379,1.6,2.7,0.572,0.57,0.5,0.7,0.808,0.8,2.3,3.2,3.2,0.5,0.1,0.7,1.3,8.9
153,Taurean Prince,PF,29,LAL,76,49,27.1,3.3,7.3,0.443,1.8,4.6,0.393,1.4,2.8,0.526,0.565,0.6,0.9,0.727,0.3,2.7,3,1.6,0.8,0.5,0.9,1.9,8.9
154,Sam Hauser,SF,26,BOS,76,11,21.8,3.1,6.8,0.452,2.4,5.7,0.427,0.6,1,0.597,0.634,0.2,0.2,0.882,0.6,2.9,3.5,1,0.5,0.3,0.4,1.3,8.8
155,Ausar Thompson,SF,21,DET,63,38,25.1,3.7,7.6,0.483,0.3,1.8,0.186,3.3,5.8,0.575,0.505,1.1,1.9,0.597,2,4.3,6.4,1.9,1.1,0.9,1.3,2.8,8.8
156,Jabari Walker,SF,21,POR,70,21,23.6,3.2,7,0.458,0.5,1.9,0.281,2.7,5.1,0.525,0.497,1.8,2.3,0.761,2,4.9,7,1,0.6,0.3,0.9,2.4,8.7
157,Al Horford,C,37,BOS,64,33,26.9,3.3,6.5,0.51,1.7,4,0.416,1.7,2.5,0.658,0.637,0.4,0.5,0.867,1.3,5.1,6.4,2.6,0.6,0.9,0.7,1.4,8.7
